sequencenum;timestamp_sec;delta;context;event;detail;timestampint;contextinint;contextint;contextoutint;eventint;eventoffset;eventsize;eventdata
86;2,12910247000;0,0000025200;Idle;Stop task_led;Ran for 2.520 us, pass #18;212910247;0x0000000000000000;0x0000000000000000;0x0000000000000000;16;541;4;10 03 FC 01 
87;2,12910454000;0,0000020700;Idle;Start task_print;Runs for 1.867 ms, pass #18;212910454;0x0000000000000000;0x0000000000000000;0x0000000000000000;15;545;4;0F 02 CF 01 
88;2,13097198000;0,0018674400;Idle;Stop task_print;Ran for 1.867 ms, pass #18;213097198;0x0000000000000000;0x0000000000000000;0x0000000000000000;16;549;5;10 02 F8 B2 0B 
89;2,13097449000;0,0000025100;Idle;Start task_led;Runs for 2.520 us, pass #19;213097449;0x0000000000000000;0x0000000000000000;0x0000000000000000;15;554;4;0F 03 FB 01 
90;2,13097701000;0,0000025200;Idle;Stop task_led;Ran for 2.520 us, pass #19;213097701;0x0000000000000000;0x0000000000000000;0x0000000000000000;16;558;4;10 03 FC 01 
91;2,13097908000;0,0000020700;Idle;Start task_print;Runs for 1.870 ms, pass #19;213097908;0x0000000000000000;0x0000000000000000;0x0000000000000000;15;562;4;0F 02 CF 01 
92;2,13285003000;0,0018709500;Idle;Stop task_print;Ran for 1.870 ms, pass #19;213285003;0x0000000000000000;0x0000000000000000;0x0000000000000000;16;566;5;10 02 D7 B5 0B 
93;2,13285254000;0,0000025100;Idle;Start task_led;Runs for 2.520 us, pass #20;213285254;0x0000000000000000;0x0000000000000000;0x0000000000000000;15;571;4;0F 03 FB 01 
94;2,13285506000;0,0000025200;Idle;Stop task_led;Ran for 2.520 us, pass #20;213285506;0x0000000000000000;0x0000000000000000;0x0000000000000000;16;575;4;10 03 FC 01 
95;2,13285713000;0,0000020700;Idle;Start task_print;Runs for 1.866 ms, pass #20;213285713;0x0000000000000000;0x0000000000000000;0x0000000000000000;15;579;4;0F 02 CF 01 
96;2,13472403000;0,0018669000;Idle;Stop task_print;Ran for 1.866 ms, pass #20;213472403;0x0000000000000000;0x0000000000000000;0x0000000000000000;16;583;5;10 02 C2 B2 0B 
97;2,13472654000;0,0000025100;Idle;Start task_led;Runs for 2.520 us, pass #21;213472654;0x0000000000000000;0x0000000000000000;0x0000000000000000;15;588;4;0F 03 FB 01 
98;2,13472906000;0,0000025200;Idle;Stop task_led;Ran for 2.520 us, pass #21;213472906;0x0000000000000000;0x0000000000000000;0x0000000000000000;16;592;4;10 03 FC 01 
99;2,13473113000;0,0000020700;Idle;Start task_print;Runs for 1.868 ms, pass #21;213473113;0x0000000000000000;0x0000000000000000;0x0000000000000000;15;596;4;0F 02 CF 01 
100;2,13659915000;0,0018680200;Idle;Stop task_print;Ran for 1.868 ms, pass #21;213659915;0x0000000000000000;0x0000000000000000;0x0000000000000000;16;600;5;10 02 B2 B3 0B 
101;2,13660166000;0,0000025100;Idle;Start task_led;Runs for 2.520 us, pass #22;213660166;0x0000000000000000;0x0000000000000000;0x0000000000000000;15;605;4;0F 03 FB 01 
102;2,13660418000;0,0000025200;Idle;Stop task_led;Ran for 2.520 us, pass #22;213660418;0x0000000000000000;0x0000000000000000;0x0000000000000000;16;609;4;10 03 FC 01 
103;2,13660625000;0,0000020700;Idle;Start task_print;Runs for 1.871 ms, pass #22;213660625;0x0000000000000000;0x0000000000000000;0x0000000000000000;15;613;4;0F 02 CF 01 
104;2,13847823000;0,0018719800;Idle;Stop task_print;Ran for 1.871 ms, pass #22;213847823;0x0000000000000000;0x0000000000000000;0x0000000000000000;16;617;5;10 02 BE B6 0B 
105;2,13848074000;0,0000025100;Idle;Start task_led;Runs for 2.520 us, pass #23;213848074;0x0000000000000000;0x0000000000000000;0x0000000000000000;15;622;4;0F 03 FB 01 
106;2,13848326000;0,0000025200;Idle;Stop task_led;Ran for 2.520 us, pass #23;213848326;0x0000000000000000;0x0000000000000000;0x0000000000000000;16;626;4;10 03 FC 01 
107;2,13848533000;0,0000020700;Idle;Start task_print;Runs for 1.867 ms, pass #23;213848533;0x0000000000000000;0x0000000000000000;0x0000000000000000;15;630;4;0F 02 CF 01 
108;2,14035328000;0,0018679500;Idle;Stop task_print;Ran for 1.867 ms, pass #23;214035328;0x0000000000000000;0x0000000000000000;0x0000000000000000;16;634;5;10 02 AB B3 0B 
109;2,14035579000;0,0000025100;Idle;Start task_led;Runs for 2.520 us, pass #24;214035579;0x0000000000000000;0x0000000000000000;0x0000000000000000;15;639;4;0F 03 FB 01 
110;2,14035831000;0,0000025200;Idle;Stop task_led;Ran for 2.520 us, pass #24;214035831;0x0000000000000000;0x0000000000000000;0x0000000000000000;16;643;4;10 03 FC 01 
111;2,14036038000;0,0000020700;Idle;Start task_print;Runs for 1.867 ms, pass #24;214036038;0x0000000000000000;0x0000000000000000;0x0000000000000000;15;647;4;0F 02 CF 01 
112;2,14222834000;0,0018679600;Idle;Stop task_print;Ran for 1.867 ms, pass #24;214222834;0x0000000000000000;0x0000000000000000;0x0000000000000000;16;651;5;10 02 AC B3 0B 
113;2,14223085000;0,0000025100;Idle;Start task_led;Runs for 2.520 us, pass #25;214223085;0x0000000000000000;0x0000000000000000;0x0000000000000000;15;656;4;0F 03 FB 01 
114;2,14223337000;0,0000025200;Idle;Stop task_led;Ran for 2.520 us, pass #25;214223337;0x0000000000000000;0x0000000000000000;0x0000000000000000;16;660;4;10 03 FC 01 
115;2,14223544000;0,0000020700;Idle;Start task_print;Runs for 1.870 ms, pass #25;214223544;0x0000000000000000;0x0000000000000000;0x0000000000000000;15;664;4;0F 02 CF 01 
116;2,14410596000;0,0018705200;Idle;Stop task_print;Ran for 1.870 ms, pass #25;214410596;0x0000000000000000;0x0000000000000000;0x0000000000000000;16;668;5;10 02 AC B5 0B 
117;2,14410847000;0,0000025100;Idle;Start task_led;Runs for 2.520 us, pass #26;214410847;0x0000000000000000;0x0000000000000000;0x0000000000000000;15;673;4;0F 03 FB 01 
118;2,14411099000;0,0000025200;Idle;Stop task_led;Ran for 2.520 us, pass #26;214411099;0x0000000000000000;0x0000000000000000;0x0000000000000000;16;677;4;10 03 FC 01 
119;2,14411306000;0,0000020700;Idle;Start task_print;Runs for 1.867 ms, pass #26;214411306;0x0000000000000000;0x0000000000000000;0x0000000000000000;15;681;4;0F 02 CF 01 
120;2,14598080000;0,0018677400;Idle;Stop task_print;Ran for 1.867 ms, pass #26;214598080;0x0000000000000000;0x0000000000000000;0x0000000000000000;16;685;5;10 02 96 B3 0B 
121;2,14598331000;0,0000025100;Idle;Start task_led;Runs for 2.520 us, pass #27;214598331;0x0000000000000000;0x0000000000000000;0x0000000000000000;15;690;4;0F 03 FB 01 
