mar 9/13:19:52.697 DEBUG2 : 		STLinkOpen
mar 9/13:19:52.889 DEBUG2 : 		ReadReg Index=0x03
mar 9/13:19:52.889 DEBUG2 : 		ReadReg Index=0x04
mar 9/13:19:52.890 DEBUG2 : 		ReadReg Index=0x05
mar 9/13:19:52.890 DEBUG2 : 		ReadReg Index=0x06
mar 9/13:19:52.890 DEBUG2 : 		ReadReg Index=0x07
mar 9/13:19:52.890 DEBUG2 : 		ReadReg Index=0x08
mar 9/13:19:52.890 DEBUG2 : 		ReadReg Index=0x09
mar 9/13:19:52.890 DEBUG2 : 		ReadReg Index=0x0A
mar 9/13:19:52.890 DEBUG2 : 		ReadReg Index=0x0B
mar 9/13:19:52.890 DEBUG2 : 		ReadReg Index=0x0C
mar 9/13:19:52.890 DEBUG2 : 		ReadReg Index=0x11
mar 9/13:19:52.890 DEBUG2 : 		ReadReg Index=0x12
mar 9/13:19:52.890 DEBUG2 : 		ReadReg Index=0x0E
mar 9/13:19:52.890 DEBUG2 : 		ReadReg Index=0x0F
mar 9/13:19:52.890 DEBUG2 : 		ReadReg Index=0x10
mar 9/13:19:52.890 DEBUG2 : 		ReadReg Index=0x14
mar 9/13:19:52.890 DEBUG2 : 		STLinkWriteReg Index=0x10 Data=0x01000000
mar 9/13:19:52.891 DEBUG2 : 		ReadTarget16 Address=0x200000C0 AP=0 Count=2 Data=0xE7FE
mar 9/13:19:52.892 DEBUG2 : 		SetCodeBreak Address=0x200000C0
mar 9/13:19:52.894 DEBUG2 : 		STLinkIsCpuHalted - Stopped
mar 9/13:19:52.896 DEBUG2 : 		ReadReg Index=0x0F
mar 9/13:19:52.904 DEBUG2 : 		ReadTarget16 Address=0x20000394 AP=0 Count=2 Data=0xF7FF
mar 9/13:19:52.905 DEBUG2 : 		ReadTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
mar 9/13:19:52.905 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
mar 9/13:19:52.906 DEBUG2 : 		ReadTarget32 Address=0xE0002000 AP=0 Count=4 Data=0x00000261
mar 9/13:19:52.907 DEBUG2 : 		ReadTarget32 Address=0xE0002000 AP=0 Count=4 Data=0x00000261
mar 9/13:19:52.907 DEBUG2 : 		ReadTarget32 Address=0xE0001000 AP=0 Count=4 Data=0x400013FF
